ticket_number,ticket_subject,sent_by,ticket_created_on,message_created_on,message,tags
21,,Customer,2022-01-24 14:19:01.51779,2022-01-24 14:19:01.51779,Hi! What is your pricing? Can I talk with someone?,Sales
21,,Agent,2022-01-24 14:19:01.51779,2022-01-24 14:19:27.936193,"Hi! Yes, we'd love to hop on a phone call! When are you free to chat?",Sales
22,,Customer,2022-01-24 17:52:10.798997,2022-01-24 17:52:10.798997,"Hi, how much is Atlas?",Sales
22,,Agent,2022-01-24 17:52:10.798997,2022-01-24 17:53:03.397358,"Looks like it, yeah.",Sales
39,,Customer,2022-02-05 17:00:58.289275,2022-02-05 17:00:58.289275,"some minor feedback - i seem to need to sign in ""more often"" than with other services. cant really quantify it but it feels slightly annoying",Feature Request
39,,Agent,2022-02-05 17:00:58.289275,2022-02-05 17:07:16.430065,"Thanks for the feedback Adam, we will increase the session timeout to a bigger time period. Will update you when the change is live. ",Feature Request
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:04.382878,"little feedback here - as i was testing the identification set up, I thought it was only picking up the id because I didnt see the name or email in this box",Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:24.241781,I now see the email at the top of the whole section,Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:29.090717,no name anywhere though,Bug
43,,Agent,2022-02-11 04:02:04.382878,2022-02-11 04:05:05.451356,"Adam, we are not displaying name, email in that section. but it should be there in the top the side pane. Something like this. ",Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:08:43.709183,"yah i see the email, not seeing name though",Bug
43,,Agent,2022-02-11 04:02:04.382878,2022-02-11 04:09:44.966741,ya just noticed that in data. Can you send me how you are making the identify call? the attribute is called name ,Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:10:01.779698,here is the payload,Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:10:37.188651,calling window.Atlas.identify(payload),Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:13:33.584691,"its possible the first time I called it, I passed undefined for the name, but I have called it with the name ""Adam Dev"" reliably now :-)",Bug
43,,Agent,2022-02-11 04:02:04.382878,2022-02-11 04:13:57.56909,"found the issue -- only fields are getting updated once user is already created in Atlas (email/name are not). let me fix that tonight. I think if you try for a new user, it should work.",Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:14:08.835816,ok let me see,Bug
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:16:31.230782,yah can confirm its working on a new user,Bug
43,,Agent,2022-02-11 04:02:04.382878,2022-02-11 04:18:54.523172,Thanks for checking and reporting the issue 🙏 Please keep them coming. This one will be fixed with next deploy.,Bug
50,,Customer,2022-02-18 00:56:16.93052,2022-02-18 00:56:16.93052,Hi! What's the best size for the company logo? Can I upload an SVG? Thanks!,Bug
50,,Customer,2022-02-18 00:56:16.93052,2022-02-18 00:58:46.947468,For email: I've added hrs134oik6@inbox.getatlas.io as a member to my Google Group. I think that should do it?,Bug
50,,Agent,2022-02-18 00:56:16.93052,2022-02-18 01:00:16.814219,"Hey Beau, For logo anything over between 200x200 to 400x400 would do. Unfortunately, We don't have support for SVG right now.",Bug
50,,Agent,2022-02-18 00:56:16.93052,2022-02-18 01:15:07.753293,"For email, it need to be full email: instant_domains_inc-hrs134oik6@inbox.getatlas.io ",Bug
50,,Customer,2022-02-18 00:56:16.93052,2022-02-18 01:15:43.574111," Google groups doesn’t like the comma — easy way to get rid of that?  On Feb 17, 2022 at 17:15:08, Rahul from Atlas Support <support@getatlas.io> wrote:  For email, it need to be full email: instant_domains_inc-hrs134oik6@inbox.getatlas.io   - Rahul Asati @ Atlas Support    ",Bug
50,,Agent,2022-02-18 00:56:16.93052,2022-02-18 01:19:56.185579,"ya, I just removed the comma and dot from the email for your account. the new email is instant_domains_inc-hrs134oik6@inbox.getatlas.io",Bug
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:23.897027,"hey, our contract dev is having an issue after merging in the atlas stuff",Product Question
