ticket_number,ticket_subject,sent_by,ticket_created_on,message_created_on,message,tags
21,,Customer,2022-01-24 14:19:01.51779,2022-01-24 14:19:01.517790,Hi! What is your pricing? Can I talk with someone?,Sales
22,,Customer,2022-01-24 17:52:10.798997,2022-01-24 17:52:10.798997,"Hi, how much is Atlas?",Sales
30,,Customer,2022-01-28 14:53:47.113617,2022-01-28 14:53:47.113617,hey not super urgent but fyi in ramp bank you show up as merriam webster,Feature Request
39,,Customer,2022-02-05 17:00:58.289275,2022-02-05 17:00:58.289275,"some minor feedback - i seem to need to sign in ""more often"" than with other services. cant really quantify it but it feels slightly annoying",Feature Request
42,,Customer,2022-02-08 13:17:02.214116,2022-02-08 13:17:02.214116,Hello! Just came across your site: do you offer remote control as well?,Feature Request
43,,Customer,2022-02-11 04:02:04.382878,2022-02-11 04:02:04.382878,"little feedback here - as i was testing the identification set up, I thought it was only picking up the id because I didnt see the name or email in this box",Bug
44,,Customer,2022-02-11 04:23:17.141716,2022-02-11 04:23:17.141716,"oh man, i was typing a reply and you cut me off by closing the ticket :-) LOL",Feature Request
48,,Customer,2022-02-15 21:06:20.036077,2022-02-15 21:06:20.036077,"hey FYI, slack gives me this notification (though it does work)",Bug
50,,Customer,2022-02-18 00:56:16.93052,2022-02-18 00:56:16.930520,Hi! What's the best size for the company logo? Can I upload an SVG? Thanks!,Bug
53,,Customer,2022-02-18 23:31:23.897027,2022-02-18 23:31:23.897027,"hey, our contract dev is having an issue after merging in the atlas stuff",Product Question
67,,Customer,2022-02-26 23:29:42.492833,2022-02-26 23:29:42.492833,"Hey, it looks like the atlas bundle is not getting compressed:",Feature Request
70,,Agent,2022-03-03 02:24:25.76092,2022-03-03 02:24:46.671945,hey Chris,Bug
73,,Agent,2022-03-07 09:20:25.649072,2022-03-07 09:34:22.546823,"Hi Izak! Not currently, but it's on our roadmap! Would love to hop on a call this week to chat about how you're doing support at Twigs/Steeple.",Sales
76,,Customer,2022-03-07 15:21:27.197499,2022-03-07 15:21:27.197499,Hi ! 👋,Feature Request
77,,Customer,2022-03-07 16:22:24.324787,2022-03-07 16:22:24.324787,Price,Sales
84,,Customer,2022-03-09 04:39:35.618031,2022-03-09 04:39:35.618031,How much,Product Question
90,,Customer,2022-03-10 19:09:13.853039,2022-03-10 19:09:13.853039,what is the corporate headquarters address,Sales
92,,Customer,2022-03-10 21:26:11.110416,2022-03-10 21:26:11.110416,Hey Folks - anything we can do to untag or otherwise filter when recording is enabled? we're ending up with quite a few low-value very short sessions,Feature Request
93,,Customer,2022-03-10 21:28:36.043879,2022-03-10 21:28:36.043879,would be very cool if the atlas input field gets tagged so it doesn't show up as 'unknown',Feature Request
94,,Customer,2022-03-10 21:30:57.763098,2022-03-10 21:30:57.763098,pinning the 'go back' button to the top of the screen and scrolling just the history beneath it would be very helpful when looking through history - right now i have to scroll back up to 'go back' and that's annoying,Feature Request
95,,Customer,2022-03-10 21:32:32.591055,2022-03-10 21:32:32.591055,it's pretty unexpected that when I reopen the atlas bubble that my previous messages aren't here and it looks like I'm starting from scratch,Bug
96,,Customer,2022-03-11 13:35:39.040095,2022-03-11 13:35:39.040095,hi,Spam
97,,Customer,2022-03-11 13:39:10.601364,2022-03-11 13:39:10.601364,Can you please cancel my account billing,Sales
98,,Agent,2022-03-11 15:48:51.656819,2022-03-11 16:04:39.756181,"Hi Michael, thanks for reaching out! We'd love to help you improve the quality of your customer support. We have a few different packages available, but the most popular is our startup package for $200/mo. This gets you 5x seats and 10,000 session recordings/mo.I'd love to hop on a call with you to discuss how you're doing support and see if we could help you improve. Do you have any availability next week to chat?",Sales
100,,Customer,2022-03-14 17:26:15.988338,2022-03-14 17:26:15.988338,Hi there! How much is it?,Sales
111,,Customer,2022-03-28 14:16:57.249598,2022-03-28 14:16:57.249598,pricing,Sales
112,,Customer,2022-03-28 16:20:23.461729,2022-03-28 16:20:23.461729,"Hi, do you have a twitter account?",Sales
113,,Customer,2022-03-29 18:12:47.706962,2022-03-29 18:12:47.706962,what do you do,Sales
114,,Customer,2022-03-30 20:54:58.329841,2022-03-30 20:54:58.329841,"Hello, do you have any documentation for developers?",Product Question
115,,Customer,2022-03-30 21:00:15.483255,2022-03-30 21:00:15.483255,"Hello, do you have any documentation for developers?",Product Question
118,,Customer,2022-03-31 15:23:20.816229,2022-03-31 15:23:20.816229,Is there a way to reach out to a user who hasn't send a message inbound? I want to reach out to a currently active user and can't figure out how.,Product Question
119,,Customer,2022-04-02 00:49:14.443303,2022-04-02 00:49:14.443303,HI,Sales
121,Re: Verify your email,Agent,2022-04-04 09:34:40.442973,2022-04-04 15:23:29.301727,"Hi Raphael,",Feature Request
129,,Customer,2022-04-07 16:11:28.096843,2022-04-07 16:11:28.096843,Does Atlas also do helpdocs/knowledge centers or is it strictly customer communication + help tickets?,Sales
141,We'd like to Review Getatlas on ReviewsXP.com (A 1000 Words Guide),Agent,2022-04-22 22:36:20.048358,2022-04-24 08:47:08.839515,Note to self: don't write emails like this,Spam
156,,Customer,2022-04-28 18:41:08.191055,2022-04-28 18:41:08.191055,Hey,Sales
159,,Customer,2022-05-03 18:51:57.508472,2022-05-03 18:51:57.508472,hey - loving the reply feature in slack,Bug
161,,Customer,2022-05-04 17:13:08.969048,2022-05-04 17:13:08.969048,Is Atlas SOC 2 compliant?,Sales
168,,Customer,2022-05-10 11:10:55.559704,2022-05-10 11:10:55.559704,hey team,Bug
177,,Customer,2022-05-18 14:32:11.347353,2022-05-18 14:32:11.347353,Pricing,Sales
178,,Customer,2022-05-18 19:14:16.58763,2022-05-18 19:14:16.587630,Pricing,Sales
180,,Customer,2022-05-24 14:28:23.231754,2022-05-24 14:28:23.231754,its not letting me copy links into atlas,Bug
190,,Customer,2022-05-31 07:22:49.874226,2022-05-31 07:22:49.874226,Hey team -- I cannot see any option to cancel the subscription from the settings menu. Can you please cancel our subscription and confirm? Thank you.,Sales
192,,Customer,2022-05-31 21:56:05.88439,2022-05-31 21:56:05.884390,how to make an account,Product Question
200,,Customer,2022-06-13 17:10:06.701279,2022-06-13 17:10:06.701279,Hello! How can I change our credit card?,Sales
208,,Agent,2022-06-24 05:32:01.204571,2022-06-30 02:27:16.997364,"Our startup package is $200/mo for up to 5 seats and 10,000 session recordings/mo. Please let me know if you are interested in getting seeing a demo? ",Sales
214,,Customer,2022-06-27 20:21:42.220976,2022-06-27 20:21:42.220976,Hi there! What's the best way to reference FAQs or any external documentation to folks who are clicking on my chat bot? Is it in the response from the agent or are there other ways to serve that information prior to chat engagement,Product Question
241,,Agent,2022-07-15 02:00:55.458539,2022-07-15 02:13:16.855130,Hi Yosuke! What are your prices for engs? And where are they located?,Sales
243,,Customer,2022-07-15 13:45:41.313591,2022-07-15 13:45:41.313591,Do you only do chat?,Sales
249,,Customer,2022-07-15 22:39:18.340506,2022-07-15 22:39:18.340506,How do i add contact info to a contact?,Bug
252,,Customer,2022-07-19 13:08:04.049766,2022-07-19 13:08:04.049766,"Hey folks, Getting a ""not right"" page for seemingly just one screen recording. Of course it's *the* screen recording I need to see a user issue. Anything that can be done here?",Bug
255,,Customer,2022-07-21 14:54:05.36807,2022-07-21 14:54:05.368070,it won't let me send images,Bug
261,,Customer,2022-07-27 16:11:26.442874,2022-07-27 16:11:26.442874,"Hey Guys, we aren't using Atlas so unfortunately I'd like to cancel our subscription. Can you process that? No sign of billing section in the UI AFAICS.",Sales
263,,Customer,2022-08-01 17:31:54.588077,2022-08-01 17:35:44.279854,https://share.cleanshot.com/7R3bAS,Bug
264,,Customer,2022-08-01 17:41:40.748808,2022-08-01 17:41:40.748808,one other favor... I used my teammate's email to try and sign up a second time and need to add him to my team -- cdeved@wick.io,Product Question
271,,Agent,2022-08-08 21:28:23.55442,2022-08-09 03:36:10.075272,"Hi Max, yes we do support SMS! Do you have a Twilio number you’d like to migrate over or would you like to get a new one?",Feature Request
279,,Agent,2022-08-15 10:53:45.688435,2022-08-15 12:34:46.627125,Hi! Our pricing starts at $200/mo for 5 seats and 10k sessions recorded/mo.,Sales
282,,Customer,2022-08-23 17:42:09.044006,2022-08-23 17:43:41.177904,Hi,Sales
286,,Customer,2022-08-29 14:18:59.347424,2022-08-29 14:18:59.347424,payment method?,Feature Request
289,,Customer,2022-08-30 20:35:18.615241,2022-08-30 20:35:18.615241,Hey team! I was reviewing a recording and capturing console logs with a customer doing a live test of our new platform and while looking at the video I noticed it is very jumbled- like the CSS has been removed,Bug
290,,Customer,2022-08-31 21:24:22.423208,2022-08-31 21:24:22.423208,Hi hi!,Spam
294,,Customer,2022-09-07 16:56:00.540323,2022-09-07 16:56:00.540323,hi all - is there a way to enable notifications when a new text/LC/email is received,Feature Request
307,,Agent,2022-09-21 04:59:48.602006,2022-09-21 06:32:55.706824,Hi Michael! Our pricing starts at $200/mo for our startup package which includes 5 seats and 10k sessions/mo. Does that align with what you’re looking for?,Sales
313,,Customer,2022-10-06 21:20:34.861956,2022-10-06 21:20:34.861956,"Hi, we're just setting atlas up and ran into a problem: our business name contains the letter Ö, which isn't supported in eMail-Adresses. Could you change our eMail-Adress from dönerme to doenerme in the beginning? Would love trying atlas :)",Bug
316,,Customer,2022-10-10 19:15:20.816733,2022-10-10 19:15:20.816733,"Hello, I have a question regarding the session recordings. Do you record the last 45 sec before the user contacted us via chat? Or do you record all the session and it's not necessary that the user contact us?",Product Question
318,,Agent,2022-10-11 14:38:08.70903,2022-10-11 15:54:23.972708,Hi Uday! We’re in the process of certifying for SOC2 with Vanta. Vanta can provide us a letter since we are in the process and that generally covers folks SOC2 requirements.,Product Question
320,,Customer,2022-10-12 20:37:06.210483,2022-10-12 20:37:06.210483,"How to change the button label ""Chat with us"" and textarea placeholder ""Start a new message...""",Feature Request
327,,Customer,2022-10-27 18:37:29.931025,2022-10-27 18:37:29.931025,asdasdas,Sales
328,,Customer,2022-10-27 23:27:07.894212,2022-10-27 23:27:07.894212,"Hi Kishan, are you there?",Spam
329,,Agent,2022-10-28 02:00:42.984943,2022-10-28 06:25:12.679248,"Hi Vlad! We don’t currently integrate with LINE, but it’s on the roadmap (when we do integrate it, it will be native in our app). And we currently only offer chat on mobile (session recordings are currently web-only — should have session recording for mobile in Q1).Would love to learn more about what you’re building and your use case!",Product Question
330,,Customer,2022-10-28 17:05:05.633636,2022-10-28 17:05:05.633636,Can you please close the account so that we don't get charged again? Also- can you let me know the last date of billing on our account please?,Sales
344,,Customer,2022-11-16 00:08:47.437039,2022-11-16 00:08:47.437039,"I can't write at box of ""Send Message"" in the Chatbot.",Bug
347,,Customer,2022-11-16 14:19:21.529606,2022-11-16 14:19:21.529606,qwe,Sales
348,,Customer,2022-11-16 14:23:07.724759,2022-11-16 14:23:07.724759,Hi Moz.,Spam
356,,Customer,2022-11-21 12:21:34.983828,2022-11-21 12:21:34.983828,hello there,Sales
359,Development Inquiry,Agent,2022-11-29 11:19:14.325702,2022-11-29 17:25:17.458241,"Hi Majida, I think we’re good to go here for now. Thanks for reaching out, though!",Spam
365,,Agent,2022-12-07 14:44:22.079197,2022-12-08 06:13:29.886162,"Hey Pedro, Great timing! we are adding Whatsapp as a channel right now and should have it in next couple of days. Do you have sometime this week, would love to show you different features of Atlas. ",Product Question
369,,Customer,2022-12-14 07:58:17.718649,2022-12-14 07:58:17.718649,this looks really cool. No pricing info...hows that work?Also see the code to implement. Indetify call looks similar to what we send to segment. is there an intergration?,Product Question
371,,Customer,2022-12-16 14:08:51.353272,2022-12-16 14:08:51.353272,is it possible to have our invoices go to billing@hirewithnear.com?,Sales
373,,Customer,2022-12-19 14:07:53.020818,2022-12-19 14:07:53.020818,using the API how can we create a new message on a new conversation? tried the conversations endpoint with a post without luck. looking at the API docs doesn't look like it's possible? https://atlas-support-api.readme.io/reference/send_message_v1_conversations__id__messages_post,Feature Request
387,,Customer,2023-01-04 16:09:13.122065,2023-01-04 16:09:13.122065,Hey! Can you share what the pricing is?,Sales
